"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
4.67183981564585e-17,0.544145732858575,0.472,0.209,6.00798600292057e-14,"Cluster 2","Diaph2"
5.2581296659497e-17,0.470656420332234,0.683,0.37,6.76195475041131e-14,"Cluster 2","Kcnj6"
5.27450613555655e-17,0.420024899182355,0.977,0.825,6.78301489032573e-14,"Cluster 2","Nrcam"
5.40345690030236e-17,0.618668174746551,0.564,0.292,6.94884557378883e-14,"Cluster 2","Kctd1"
5.48241672632966e-17,0.475850683581952,0.922,0.67,7.05038791005995e-14,"Cluster 2","Brinp1"
5.71673416337041e-17,0.44910047327009,0.927,0.718,7.35172013409435e-14,"Cluster 2","Mast4"
5.95925919207733e-17,0.404256879764521,0.986,0.903,7.66360732101145e-14,"Cluster 2","Prkcb"
6.3989006741282e-17,0.45783194874132,0.725,0.416,8.22898626692887e-14,"Cluster 2","Ctnnal1"
7.41403397474074e-17,0.452902137184162,0.858,0.556,9.53444769151659e-14,"Cluster 2","Arap2"
1.11100900235011e-16,0.502100455689381,0.665,0.364,1.42875757702224e-13,"Cluster 2","Tmtc1"
1.16328312577375e-16,0.41603870940668,0.674,0.342,1.49598209974504e-13,"Cluster 2","Rgs6"
1.4829126035464e-16,0.427198865945291,0.89,0.618,1.90702560816067e-13,"Cluster 2","Bcl11a"
1.57126722593965e-16,0.498121167948651,0.72,0.383,2.02064965255839e-13,"Cluster 2","Ndst3"
1.63396618577718e-16,0.549051275969815,0.734,0.442,2.10128051490945e-13,"Cluster 2","Fzd3"
1.89119136900936e-16,0.508160412425997,0.803,0.506,2.43207210054604e-13,"Cluster 2","Camkk1"
2.64719655570773e-16,0.413454923224177,0.954,0.83,3.40429477064014e-13,"Cluster 2","Asap1"
3.42097784395985e-16,0.495055679452507,0.771,0.501,4.39937750733236e-13,"Cluster 2","Nkain2"
3.77167431841707e-16,0.412983591456572,0.931,0.715,4.85037317348435e-13,"Cluster 2","Fry"
4.95126493726743e-16,0.463217464651608,0.739,0.452,6.36732670932592e-13,"Cluster 2","Ctdspl"
5.08055608806217e-16,0.406368026678337,0.94,0.785,6.53359512924796e-13,"Cluster 2","Atl1"
5.53271624723707e-16,0.478297961398785,0.904,0.625,7.11507309394687e-13,"Cluster 2","Cap2"
6.53862829527539e-16,0.391361880772805,0.991,0.882,8.40867598772415e-13,"Cluster 2","Pcdh9"
7.888537706736e-16,0.51323611058273,0.569,0.292,1.01446594908625e-12,"Cluster 2","Ryr3"
9.19723622074299e-16,0.480012400402318,0.266,0.078,1.18276457798755e-12,"Cluster 2","Ptpn13"
1.17539245869467e-15,0.572116118829937,0.532,0.257,1.51155470188134e-12,"Cluster 2","Exoc6"
1.49058112072851e-15,0.47360691176854,0.876,0.663,1.91688732125687e-12,"Cluster 2","Add2"
2.03502778626065e-15,0.38011067573516,0.826,0.477,2.6170457331312e-12,"Cluster 2","Cacna2d3"
2.96580364734004e-15,0.454208284399226,0.679,0.376,3.81402349047929e-12,"Cluster 2","Brinp3"
4.64147927218266e-15,0.638589031964392,0.358,0.14,5.9689423440269e-12,"Cluster 2","Cdh22"
5.54240359345859e-15,0.500896548192591,0.853,0.589,7.12753102118775e-12,"Cluster 2","Camkk2"
6.20609260624537e-15,0.456975479929852,0.697,0.395,7.98103509163155e-12,"Cluster 2","Prmt8"
7.57174741563827e-15,0.303519023540711,0.674,0.34,9.73726717651081e-12,"Cluster 2","Sorcs3"
9.68819345993637e-15,0.387061489392308,0.94,0.783,1.24590167894782e-11,"Cluster 2","Pcdh7"
1.15173823093401e-14,0.390395378763974,0.849,0.616,1.48113536498114e-11,"Cluster 2","Tmem178b"
1.24667119378203e-14,0.406506822023049,0.908,0.689,1.60321915520369e-11,"Cluster 2","Nin"
1.67862074786715e-14,0.382801121087898,0.94,0.746,2.15870628175716e-11,"Cluster 2","Celf5"
1.89130410611734e-14,0.376580900722332,0.44,0.19,2.4322170804669e-11,"Cluster 2","Pdzrn4"
2.15795427842044e-14,0.593196684338932,0.619,0.349,2.77512920204869e-11,"Cluster 2","Wls"
